State,NDA Alliance,UPA Alliance + Other Opposition,BJP_Performance,Congress_Performance
Andaman & Nicobar,0,100,0,100
Andhra Pradesh,0,100,0,0
Arunachal Pradesh,100,0,100,0
Assam,64.28,35.72,64.28,21.43
Bihar,42.55,57.45,42.55,2.5
Chandigarh,100,0,100,0
Chhattisgarh,81.8,18.2,81.8,18.2
Dadra and Nagar Haveli and Daman and Diu,50,50,50,0
Delhi,100,0,100,0
Goa,50,50,50,50
Gujarat,100,0,100,0
Haryana,100,0,100,0
Himachal Pradesh,100,0,100,0
Jammu & Kashmir,50,50,50,0
Jharkhand,85.7,14.3,78.57,7.14
Karnataka,92.85,7.15,89.28,3.57
Kerala,0,100,0,75
Lakshadweep,0,100,0,0
Ladakh,100,0,100,0
Madhya Pradesh,96.55,3.45,96.55,3.45
Maharashtra,85.42,14.58,47.92,2.08
Manipur,50,50,50,0
Meghalaya,0,100,0,50
Mizoram,0,100,0,0
Nagaland,100,0,0,0
Odisha,57.2,42.8,38.09,4.76
Puducherry,0,100,100,0
Punjab,30.77,69.23,15.38,61.54
Rajasthan,100,0,96,0
Sikkim,0,100,0,0
Tamil Nadu,2.56,97.44,0,20.51
Telangana,23.53,76.47,23.53,17.65
Tripura,100,0,100,0
Uttar Pradesh,77.5,22.5,77.5,1.25
Uttarakhand,100,0,100,0
West Bengal,42.85,57.15,42.85,4.76
